Rk,Player,Pos,Age,Tm,G_x,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All-Star
340,Patty Mills,PG,31,SAS,66,1,22.5,3.9,9.1,0.431,2.3,6.1,0.382,1.6,3.0,0.533,0.56,1.5,1.7,0.866,0.3,1.3,1.6,1.8,0.8,0.1,0.8,1.6,11.6,66,14.8,0.592,0.674,0.187,1.6,6.2,3.9,11.4,1.7,0.4,7.7,20.4,2.3,0.5,2.8,0.091,1.2,-1.2,0.0,0.8,false
341,Paul Millsap,PF,34,DEN,51,48,24.3,4.1,8.6,0.482,1.1,2.4,0.435,3.1,6.2,0.5,0.543,2.3,2.8,0.816,1.9,3.8,5.7,1.6,0.9,0.6,1.4,2.9,11.6,51,16.9,0.591,0.283,0.322,8.9,17.6,13.2,9.6,1.8,2.2,12.3,20.0,2.1,1.4,3.5,0.136,0.3,-0.2,0.1,0.7,false
342,Shake Milton,SG,23,PHI,40,24,20.1,3.4,6.9,0.484,1.5,3.4,0.43,1.9,3.6,0.535,0.588,1.3,1.6,0.785,0.4,1.8,2.2,2.6,0.5,0.2,1.2,2.3,9.4,40,14.4,0.617,0.487,0.235,2.1,10.0,6.0,18.8,1.2,0.7,13.3,18.9,1.4,0.7,2.1,0.126,0.0,-1.0,-1.0,0.2,false
343,Donovan Mitchell,SG,23,UTA,69,69,34.3,8.7,19.4,0.449,2.5,6.9,0.366,6.2,12.6,0.494,0.513,4.0,4.7,0.863,0.8,3.6,4.4,4.3,1.0,0.2,2.7,2.5,24.0,69,18.8,0.558,0.352,0.24,2.6,11.3,7.1,21.6,1.4,0.5,11.0,30.8,3.2,2.2,5.4,0.11,2.4,-0.6,1.9,2.3,true
344,Naz Mitrou-Long,SG,26,IND,5,0,9.4,1.2,3.4,0.353,0.4,2.4,0.167,0.8,1.0,0.8,0.412,0.0,0.0,,0.0,1.4,1.4,1.6,0.2,0.2,0.6,0.4,2.8,5,7.8,0.412,0.706,0.0,0.0,16.2,8.2,22.8,1.0,1.9,15.0,18.7,-0.1,0.1,0.0,-0.022,-3.5,2.1,-1.4,0.0,false
345,Adam Mokoka,SF,21,CHI,11,0,10.2,1.1,2.5,0.429,0.5,1.4,0.4,0.5,1.2,0.462,0.536,0.2,0.4,0.5,0.6,0.3,0.9,0.4,0.4,0.0,0.2,1.5,2.9,11,8.2,0.538,0.536,0.143,6.6,3.1,4.9,5.0,1.7,0.0,6.3,12.1,0.1,0.1,0.2,0.073,-3.1,-1.0,-4.1,-0.1,false
346,Malik Monk,SG,21,CHO,55,1,21.3,3.9,8.9,0.434,1.1,3.7,0.284,2.8,5.2,0.542,0.494,1.5,1.8,0.82,0.5,2.4,2.9,2.1,0.5,0.3,1.4,1.3,10.3,55,12.6,0.53,0.418,0.205,2.4,12.6,7.3,16.6,1.1,1.3,12.6,22.9,0.1,0.6,0.7,0.028,-1.1,-1.3,-2.3,-0.1,false
347,Matt Mooney,SG,22,CLE,4,0,4.8,0.3,1.0,0.25,0.0,0.5,0.0,0.3,0.5,0.5,0.25,0.0,0.0,,0.0,0.8,0.8,0.3,0.5,0.3,0.0,0.3,0.5,4,8.1,0.25,0.5,0.0,0.0,17.7,8.8,6.7,5.1,4.5,0.0,9.0,0.0,0.0,0.0,0.007,-5.4,5.0,-0.4,0.0,false
348,E'Twaun Moore,SG,30,NOP,56,6,18.2,3.3,7.8,0.426,1.1,3.0,0.377,2.2,4.8,0.456,0.498,0.6,0.8,0.689,0.6,1.8,2.3,1.4,0.6,0.2,0.7,1.4,8.3,56,11.3,0.51,0.382,0.103,3.2,10.4,6.8,11.0,1.5,0.9,8.1,19.9,0.3,0.7,0.9,0.043,-1.9,-0.8,-2.7,-0.2,false
349,Ja Morant,PG,20,MEM,67,67,31.0,6.7,14.0,0.477,0.9,2.7,0.335,5.8,11.3,0.511,0.509,3.6,4.6,0.776,0.8,3.1,3.9,7.3,0.9,0.3,3.3,1.6,17.8,67,17.4,0.556,0.191,0.329,2.6,10.4,6.6,35.2,1.3,0.8,17.0,25.9,2.3,1.5,3.8,0.088,1.5,-1.2,0.3,1.2,false
350,Juwan Morgan,PF,22,UTA,21,0,6.4,0.7,1.2,0.577,0.1,0.4,0.375,0.6,0.9,0.667,0.635,0.1,0.2,0.75,0.5,0.9,1.4,0.3,0.0,0.1,0.3,0.9,1.7,21,10.1,0.648,0.308,0.154,8.5,15.1,11.9,6.2,0.4,1.2,17.8,11.0,0.2,0.1,0.3,0.106,-2.9,-0.3,-3.2,0.0,false
351,Marcus Morris,SF-PF,30,TOT,62,62,31.2,5.7,13.1,0.438,2.3,5.6,0.408,3.4,7.5,0.461,0.526,2.9,3.5,0.823,1.0,4.1,5.0,1.4,0.8,0.5,1.6,2.9,16.7,62,14.3,0.57,0.43,0.272,3.2,14.0,8.5,6.8,1.2,1.4,9.7,21.9,2.1,1.5,3.6,0.088,0.6,-0.7,-0.1,0.9,false
352,Markieff Morris,PF,30,TOT,58,17,20.5,3.5,7.9,0.443,1.5,3.9,0.386,2.0,4.0,0.5,0.539,1.1,1.5,0.776,0.7,3.1,3.8,1.3,0.5,0.3,1.3,2.3,9.7,58,12.5,0.565,0.498,0.186,3.8,17.1,10.3,10.1,1.3,1.2,13.3,20.9,0.5,1.0,1.4,0.058,-1.1,-0.9,-2.0,0.0,false
353,Monte Morris,PG,24,DEN,73,12,22.4,3.6,7.8,0.459,0.9,2.4,0.378,2.7,5.4,0.495,0.517,1.0,1.2,0.843,0.3,1.5,1.9,3.5,0.8,0.2,0.7,1.0,9.0,73,14.9,0.545,0.304,0.157,1.6,7.7,4.7,22.1,1.7,1.0,8.1,17.5,2.7,1.1,3.8,0.112,0.4,-0.5,-0.2,0.8,false
354,Johnathan Motley,PF,24,LAC,13,0,3.2,0.8,1.2,0.733,0.1,0.1,1.0,0.8,1.1,0.714,0.767,0.4,0.5,0.714,0.2,0.5,0.8,0.6,0.2,0.0,0.4,0.5,2.2,13,28.5,0.774,0.067,0.467,7.8,17.3,12.7,32.9,3.5,0.0,21.7,23.5,0.2,0.1,0.3,0.299,4.8,3.3,8.1,0.1,false
355,Emmanuel Mudiay,PG,23,UTA,54,2,15.7,2.8,6.1,0.462,0.6,1.6,0.345,2.2,4.4,0.504,0.508,1.2,1.5,0.759,0.3,2.0,2.3,2.1,0.4,0.2,1.4,1.3,7.3,54,13.0,0.543,0.266,0.254,2.4,13.5,8.2,20.9,1.4,1.0,17.3,22.6,0.1,0.9,1.0,0.057,-1.8,-0.1,-1.9,0.0,false
356,Mychal Mulder,SF,25,GSW,7,3,29.1,3.7,9.6,0.388,2.3,7.4,0.308,1.4,2.1,0.667,0.507,1.3,1.7,0.75,0.4,2.9,3.3,1.1,0.3,0.1,0.7,2.9,11.0,7,7.8,0.533,0.776,0.179,1.5,11.0,6.1,5.8,0.5,0.4,6.5,16.2,0.0,0.0,0.1,0.017,-3.3,-2.8,-6.1,-0.2,false
357,Dejounte Murray,PG,23,SAS,66,58,25.6,4.5,9.7,0.462,0.6,1.7,0.369,3.8,8.0,0.481,0.494,1.4,1.7,0.798,1.0,4.8,5.8,4.1,1.7,0.3,1.9,2.2,10.9,66,16.2,0.524,0.174,0.179,4.4,20.1,12.2,23.1,3.1,0.9,15.4,20.8,0.7,2.0,2.6,0.074,-0.9,1.3,0.4,1.0,false
358,Jamal Murray,PG,22,DEN,59,59,32.3,6.9,15.2,0.456,1.9,5.5,0.346,5.0,9.7,0.519,0.519,2.8,3.1,0.881,0.8,3.2,4.0,4.8,1.1,0.3,2.2,1.7,18.5,59,17.7,0.559,0.362,0.207,2.7,11.2,6.9,22.9,1.7,0.8,11.5,25.2,2.8,1.5,4.3,0.107,2.0,-0.8,1.2,1.5,false
359,Džanan Musa,SF,20,BRK,40,0,12.2,1.6,4.3,0.372,0.5,2.0,0.244,1.1,2.4,0.479,0.427,1.1,1.5,0.75,0.5,1.6,2.2,1.1,0.4,0.0,0.9,0.8,4.8,40,9.4,0.484,0.453,0.349,4.6,13.5,9.1,12.6,1.5,0.2,15.4,20.1,-0.3,0.5,0.2,0.016,-3.5,-0.9,-4.4,-0.3,false
360,Mike Muscala,C,28,OKC,47,2,12.2,1.6,4.0,0.407,1.1,3.0,0.378,0.5,1.0,0.5,0.55,0.4,0.5,0.818,0.3,2.0,2.3,0.9,0.2,0.3,0.4,1.2,4.8,47,12.5,0.569,0.757,0.116,3.2,17.3,10.4,10.1,0.8,1.8,7.9,16.6,0.7,0.6,1.3,0.107,0.1,-0.2,-0.1,0.3,false
361,Sviatoslav Mykhailiuk,SF,22,DET,56,27,22.6,3.0,7.2,0.41,2.1,5.1,0.404,0.9,2.1,0.425,0.552,1.0,1.3,0.814,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9.0,56,11.2,0.578,0.704,0.173,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,1.0,0.6,1.6,0.06,-0.7,-1.2,-1.9,0.0,false
362,Abdel Nader,SF,26,OKC,55,6,15.8,2.2,4.8,0.468,0.9,2.3,0.375,1.4,2.5,0.556,0.559,0.9,1.2,0.773,0.3,1.6,1.8,0.7,0.4,0.4,0.8,1.4,6.3,55,11.3,0.591,0.487,0.251,1.8,10.6,6.4,6.4,1.3,2.0,12.8,17.0,0.5,0.9,1.3,0.074,-1.1,0.2,-1.0,0.2,false
363,Larry Nance Jr.,PF,27,CLE,56,10,26.3,4.1,7.7,0.531,1.0,2.8,0.352,3.1,4.9,0.636,0.596,0.9,1.3,0.676,1.9,5.4,7.3,2.2,1.0,0.4,1.1,1.6,10.1,56,17.3,0.608,0.369,0.172,7.9,23.1,15.4,12.3,1.9,1.3,11.5,15.2,2.8,1.1,3.9,0.128,1.4,0.4,1.7,1.4,false
364,Shabazz Napier,PG,28,TOT,56,32,24.0,3.4,8.1,0.412,1.4,4.3,0.317,2.0,3.9,0.519,0.496,2.3,2.7,0.824,0.5,2.4,2.8,4.7,1.2,0.2,2.3,1.8,10.3,56,13.8,0.552,0.526,0.336,2.0,10.9,6.3,27.8,2.4,0.7,19.7,20.0,0.8,0.9,1.7,0.059,-0.7,-0.4,-1.1,0.3,false
365,Raul Neto,PG,27,PHI,54,3,12.4,1.9,4.1,0.455,0.6,1.6,0.386,1.2,2.5,0.5,0.532,0.7,0.9,0.83,0.2,0.9,1.1,1.8,0.4,0.1,0.9,0.9,5.1,54,12.7,0.567,0.396,0.212,1.8,8.3,5.0,20.3,1.7,0.8,16.2,18.7,0.5,0.6,1.2,0.083,-1.2,-0.6,-1.8,0.0,false
366,Malik Newman,SG,22,CLE,1,0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1,-11.4,0.347,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,41.5,0.0,0.0,0.0,-0.502,-14.5,-11.2,-25.7,0.0,false
367,Georges Niang,PF,26,UTA,66,1,14.0,2.1,4.9,0.438,1.4,3.4,0.4,0.8,1.5,0.526,0.578,0.3,0.4,0.833,0.2,1.7,1.9,0.7,0.3,0.1,0.5,1.1,5.9,66,11.7,0.589,0.699,0.075,1.9,12.9,7.6,7.0,0.9,0.4,8.3,17.2,1.0,0.8,1.8,0.092,0.4,-0.5,-0.1,0.4,false
368,Joakim Noah,C,34,LAC,5,0,10.0,0.8,1.6,0.5,0.0,0.0,,0.8,1.6,0.5,0.5,1.2,1.6,0.75,1.0,2.2,3.2,1.4,0.2,0.2,1.2,1.8,2.8,5,11.1,0.608,0.0,1.0,10.7,22.3,16.6,17.9,0.9,1.8,34.2,14.7,0.0,0.1,0.1,0.096,-4.1,2.5,-1.6,0.0,false
369,Nerlens Noel,C,25,OKC,61,7,18.5,3.0,4.4,0.684,0.0,0.0,0.333,3.0,4.4,0.688,0.686,1.3,1.7,0.755,1.5,3.4,4.9,0.9,1.0,1.5,1.1,2.7,7.4,61,20.4,0.711,0.011,0.394,9.2,19.9,14.7,7.6,2.5,6.9,17.3,14.9,2.6,2.3,4.9,0.209,-0.3,3.4,3.1,1.5,false
370,Zach Norvell,SG,22,TOT,5,0,8.2,0.6,2.4,0.25,0.6,1.6,0.375,0.0,0.8,0.0,0.375,0.2,0.2,1.0,0.0,1.2,1.2,0.6,0.4,0.0,0.6,0.8,2.0,5,2.6,0.402,0.667,0.083,0.0,16.3,7.9,10.2,2.3,0.0,19.4,16.1,-0.1,0.0,-0.1,-0.084,-7.1,-1.2,-8.4,-0.1,false
371,Jaylen Nowell,SG,20,MIN,15,0,10.1,1.3,3.5,0.358,0.2,1.7,0.115,1.1,1.8,0.593,0.387,1.1,1.1,0.941,0.2,0.7,0.9,1.3,0.2,0.1,0.2,0.7,3.8,15,10.5,0.471,0.491,0.321,2.0,7.3,4.5,17.8,0.9,0.6,4.7,17.3,0.1,0.0,0.2,0.051,-2.9,-0.8,-3.8,-0.1,false
372,Frank Ntilikina,PG,21,NYK,57,26,20.8,2.3,5.8,0.393,0.8,2.4,0.321,1.5,3.4,0.444,0.459,0.9,1.0,0.864,0.4,1.7,2.1,3.0,0.9,0.3,1.2,2.5,6.3,57,9.8,0.497,0.411,0.177,2.0,9.1,5.4,20.2,2.2,1.3,16.5,15.4,0.1,0.8,0.9,0.037,-3.6,0.4,-3.2,-0.4,false
373,Kendrick Nunn,PG,24,MIA,67,67,29.3,6.0,13.6,0.439,2.0,5.8,0.35,3.9,7.8,0.505,0.514,1.3,1.5,0.85,0.3,2.4,2.7,3.3,0.8,0.2,1.7,2.3,15.3,67,12.9,0.534,0.428,0.109,1.2,8.7,5.1,18.5,1.4,0.8,10.6,24.1,0.4,1.6,2.0,0.049,-1.0,-1.3,-2.3,-0.1,false
374,Jusuf Nurkić,C,25,POR,8,8,31.6,6.8,13.6,0.495,0.3,1.3,0.2,6.5,12.4,0.525,0.505,3.9,4.4,0.886,2.9,7.4,10.3,4.0,1.4,2.0,2.4,4.9,17.6,8,22.6,0.567,0.092,0.321,9.6,24.1,16.9,19.1,2.1,5.4,13.2,24.0,0.5,0.3,0.9,0.164,1.0,0.9,2.0,0.2,false
375,David Nwaba,SF,27,BRK,20,0,13.4,1.9,3.6,0.521,0.6,1.4,0.429,1.3,2.2,0.581,0.606,0.9,1.4,0.667,0.4,1.9,2.3,0.4,0.6,0.6,0.4,1.6,5.2,20,14.0,0.627,0.394,0.38,3.2,14.0,8.7,4.3,1.9,3.7,8.8,14.2,0.4,0.4,0.8,0.138,-1.0,2.0,1.0,0.2,false
376,Royce O'Neale,SF,26,UTA,71,62,28.9,2.2,5.1,0.433,1.3,3.4,0.377,0.9,1.7,0.545,0.559,0.6,0.8,0.764,0.4,5.1,5.5,2.5,0.8,0.5,0.9,2.8,6.3,71,9.5,0.578,0.668,0.151,1.5,18.8,10.4,11.6,1.4,1.3,13.5,9.6,1.8,2.5,4.3,0.101,-1.3,2.2,0.9,1.5,false
377,Kyle O'Quinn,C,29,PHI,29,2,10.8,1.4,2.9,0.494,0.2,0.9,0.259,1.2,2.0,0.603,0.535,0.4,0.7,0.55,1.2,2.8,4.0,1.8,0.2,0.8,0.7,1.3,3.5,29,18.6,0.544,0.318,0.235,12.0,29.0,20.5,22.7,1.1,6.5,17.6,15.7,0.5,0.6,1.1,0.165,0.3,2.7,3.0,0.4,false
378,Semi Ojeleye,PF,25,BOS,69,6,14.7,1.2,2.8,0.408,0.7,1.8,0.378,0.5,1.0,0.464,0.531,0.4,0.5,0.875,0.4,1.7,2.1,0.5,0.3,0.1,0.3,1.2,3.4,69,7.7,0.562,0.648,0.163,2.8,12.5,7.7,4.7,1.0,0.5,8.3,9.7,0.8,1.0,1.9,0.088,-2.1,0.4,-1.7,0.1,false
379,Jahlil Okafor,C,24,NOP,30,9,15.6,3.4,5.4,0.623,0.0,0.1,0.333,3.3,5.3,0.629,0.627,1.3,2.1,0.645,1.6,2.6,4.2,1.2,0.2,0.7,1.3,2.2,8.1,30,18.3,0.642,0.019,0.383,10.9,18.0,14.4,12.0,0.7,3.9,16.7,19.9,0.9,0.4,1.3,0.133,-0.5,0.3,-0.2,0.2,false
380,Elie Okobo,PG,22,PHO,55,3,13.1,1.3,3.3,0.398,0.5,1.3,0.352,0.9,2.0,0.427,0.467,0.9,1.3,0.704,0.3,1.3,1.6,2.1,0.4,0.1,0.7,1.0,4.0,55,10.6,0.516,0.392,0.392,2.4,11.6,6.9,21.2,1.6,0.5,15.2,14.8,0.5,0.5,1.0,0.067,-1.9,0.0,-1.9,0.0,false
381,Josh Okogie,SG,21,MIN,62,28,25.0,2.7,6.4,0.427,0.7,2.5,0.266,2.1,3.9,0.529,0.479,2.5,3.1,0.796,1.4,2.9,4.3,1.6,1.1,0.4,1.4,2.2,8.6,62,11.5,0.553,0.387,0.48,5.7,12.8,9.1,8.9,2.0,1.4,15.3,15.1,0.9,1.2,2.2,0.068,-2.4,0.0,-2.4,-0.2,false
382,KZ Okpala,PF,20,MIA,5,0,5.2,0.6,1.0,0.6,0.0,0.2,0.0,0.6,0.8,0.75,0.6,0.2,0.4,0.5,0.2,0.8,1.0,0.2,0.4,0.2,0.2,0.4,1.4,5,13.7,0.595,0.2,0.4,4.5,16.6,10.8,5.5,3.8,3.8,14.5,11.7,0.0,0.0,0.1,0.118,-1.3,4.0,2.7,0.0,false
383,Victor Oladipo,SG,27,IND,19,16,27.8,5.1,12.9,0.394,1.7,5.5,0.317,3.4,7.5,0.451,0.461,2.5,3.1,0.814,0.5,3.5,3.9,2.9,0.9,0.2,2.5,1.9,14.5,19,11.3,0.506,0.423,0.24,1.9,13.6,7.8,15.4,1.6,0.7,14.7,26.5,-0.6,0.6,0.0,0.002,-2.2,-1.1,-3.3,-0.2,false
384,Kelly Olynyk,C,28,MIA,67,9,19.4,2.7,5.9,0.462,1.4,3.5,0.406,1.3,2.4,0.543,0.582,1.3,1.5,0.86,0.7,3.9,4.6,1.7,0.7,0.3,1.1,2.6,8.2,67,14.6,0.621,0.588,0.251,3.9,21.6,13.1,13.3,1.7,1.8,13.8,17.4,1.9,1.8,3.7,0.135,0.0,1.0,1.0,1.0,false
385,Miye Oni,SF,22,UTA,10,1,10.9,1.2,3.2,0.375,0.7,1.9,0.368,0.5,1.3,0.385,0.484,0.4,0.5,0.8,0.5,1.2,1.7,0.4,0.4,0.2,0.4,0.9,3.5,10,9.7,0.512,0.594,0.156,5.2,11.7,8.6,5.1,1.8,1.5,10.5,15.3,0.0,0.1,0.1,0.063,-3.2,-1.0,-4.3,-0.1,false
386,Cedi Osman,SF,24,CLE,65,65,29.4,4.1,9.4,0.437,1.9,4.9,0.383,2.2,4.4,0.497,0.538,1.0,1.4,0.67,0.6,3.0,3.6,2.4,0.8,0.2,1.4,2.5,11.0,65,10.7,0.552,0.527,0.154,2.2,11.3,6.7,11.6,1.4,0.7,12.3,16.6,1.0,0.6,1.6,0.04,-1.7,-0.9,-2.6,-0.3,false
387,Kelly Oubre Jr.,SF,24,PHO,56,55,34.5,6.7,14.8,0.452,1.9,5.5,0.352,4.7,9.3,0.511,0.517,3.4,4.4,0.78,1.2,5.3,6.4,1.5,1.3,0.7,1.5,3.4,18.7,56,14.9,0.56,0.372,0.298,3.8,17.1,10.4,6.6,1.7,1.8,8.2,22.4,1.7,2.1,3.8,0.093,-0.3,-0.3,-0.5,0.7,false
388,Tariq Owens,PF,24,PHO,3,0,5.0,0.3,1.7,0.2,0.0,0.7,0.0,0.3,1.0,0.333,0.2,0.7,0.7,1.0,0.7,0.3,1.0,0.0,0.3,0.0,0.0,0.3,1.3,3,8.4,0.34,0.4,0.4,14.6,7.5,11.1,0.0,3.2,0.0,0.0,16.7,0.0,0.0,0.0,0.021,-3.1,-2.7,-5.8,0.0,false
389,Jeremy Pargo,PG,33,GSW,3,0,14.7,3.7,7.3,0.5,1.0,2.3,0.429,2.7,5.0,0.533,0.568,0.0,0.3,0.0,0.3,0.7,1.0,2.7,0.3,0.0,1.3,2.7,8.3,3,12.6,0.557,0.318,0.045,2.4,5.1,3.7,33.2,1.1,0.0,15.1,25.7,0.0,0.0,0.0,0.011,-2.8,-3.0,-5.9,0.0,false
390,Jabari Parker,PF,24,TOT,38,23,24.1,5.8,11.3,0.51,0.8,3.1,0.269,4.9,8.2,0.603,0.548,1.6,2.1,0.753,1.6,4.0,5.6,1.8,1.2,0.4,1.7,2.6,14.0,38,18.0,0.571,0.277,0.189,7.1,18.3,12.6,12.4,2.3,1.5,12.1,24.0,0.8,0.8,1.6,0.083,0.6,-0.3,0.3,0.5,false
391,Chandler Parsons,PF,31,ATL,5,0,10.8,1.0,3.6,0.278,0.8,2.8,0.286,0.2,0.8,0.25,0.389,0.0,0.0,,0.2,1.2,1.4,0.6,0.8,0.2,0.6,0.6,2.8,5,5.6,0.389,0.778,0.0,2.0,12.1,7.0,7.5,3.5,1.6,14.3,16.1,-0.1,0.0,-0.1,-0.065,-4.7,-1.4,-6.1,-0.1,false
392,Eric Paschall,PF,23,GSW,60,26,27.6,5.3,10.7,0.497,0.6,2.2,0.287,4.7,8.5,0.55,0.526,2.7,3.5,0.774,1.4,3.2,4.6,2.1,0.5,0.2,1.6,2.1,14.0,60,14.5,0.571,0.202,0.331,5.2,13.1,9.0,12.7,0.9,0.7,11.4,21.4,1.6,0.5,2.1,0.062,-0.7,-2.0,-2.7,-0.3,false
393,Anžejs Pasečņiks,C,24,WAS,27,0,16.2,2.3,4.3,0.526,0.0,0.1,0.0,2.3,4.2,0.54,0.526,1.3,2.1,0.586,1.6,2.4,4.0,0.7,0.3,0.4,0.9,2.8,5.8,27,11.3,0.551,0.026,0.5,10.1,16.9,13.4,5.7,1.0,2.4,14.5,15.8,0.3,0.2,0.5,0.054,-4.1,-1.5,-5.6,-0.4,false
394,Patrick Patterson,PF,30,LAC,59,18,13.2,1.6,3.9,0.408,1.1,2.9,0.39,0.5,1.0,0.459,0.552,0.6,0.7,0.814,0.6,2.0,2.6,0.7,0.1,0.1,0.4,0.9,4.9,59,11.5,0.58,0.738,0.185,4.8,15.1,10.1,7.2,0.4,0.3,7.7,14.7,1.1,0.8,1.9,0.118,0.8,-0.5,0.3,0.5,false
395,Justin Patton,C,22,OKC,5,0,4.8,0.8,2.0,0.4,0.2,0.8,0.25,0.6,1.2,0.5,0.45,0.0,0.0,,0.2,0.8,1.0,0.4,0.0,0.0,0.4,0.8,1.8,5,4.7,0.45,0.4,0.0,4.7,17.9,11.5,12.6,0.0,0.0,16.7,22.0,-0.1,0.0,0.0,-0.063,-6.8,-3.3,-10.1,0.0,false
396,Chris Paul,PG,34,OKC,70,70,31.5,6.2,12.7,0.489,1.6,4.3,0.365,4.6,8.3,0.554,0.552,3.6,4.0,0.907,0.4,4.6,5.0,6.7,1.6,0.2,2.3,2.3,17.6,70,21.7,0.61,0.343,0.315,1.3,15.7,8.7,34.0,2.4,0.4,13.8,23.3,5.9,3.0,8.9,0.193,3.0,1.4,4.4,3.5,true
397,Cameron Payne,SG,25,PHO,8,0,22.9,4.1,8.5,0.485,1.9,3.6,0.517,2.3,4.9,0.462,0.596,0.8,0.9,0.857,0.5,3.4,3.9,3.0,1.0,0.3,1.4,2.5,10.9,8,15.7,0.612,0.426,0.103,2.4,16.6,9.4,19.5,2.1,1.0,13.4,19.1,0.3,0.2,0.5,0.12,0.5,1.0,1.5,0.2,false
398,Elfrid Payton,PG,25,NYK,45,36,27.7,4.3,9.8,0.439,0.3,1.5,0.203,4.0,8.2,0.482,0.455,1.1,1.9,0.57,1.2,3.6,4.7,7.2,1.6,0.4,2.1,2.0,10.0,45,16.0,0.47,0.157,0.195,4.3,14.1,9.1,38.6,2.7,1.3,16.7,19.5,0.5,1.2,1.7,0.065,-0.4,0.4,0.0,0.6,false
399,Gary Payton II,SF,27,WAS,29,17,14.9,1.7,4.0,0.414,0.4,1.6,0.283,1.2,2.4,0.5,0.47,0.1,0.3,0.5,0.9,1.9,2.8,1.7,1.1,0.2,0.7,1.9,3.9,29,11.3,0.473,0.397,0.069,6.3,14.2,10.1,14.8,3.6,1.4,14.3,13.4,0.0,0.4,0.5,0.051,-3.2,1.6,-1.6,0.0,false
400,Norvel Pelle,C,26,PHI,24,0,9.7,1.0,2.0,0.521,0.0,0.0,0.0,1.0,2.0,0.532,0.521,0.3,0.6,0.5,0.8,2.2,3.0,0.3,0.1,1.3,0.8,2.3,2.4,24,10.5,0.526,0.021,0.292,9.5,24.8,17.1,4.6,0.6,11.4,24.9,13.4,-0.2,0.5,0.3,0.069,-7.8,2.6,-5.2,-0.2,false
401,Theo Pinson,SG,24,BRK,33,0,11.1,1.4,4.7,0.29,0.5,2.4,0.188,0.9,2.3,0.4,0.339,0.5,0.5,0.938,0.3,1.3,1.6,1.7,0.5,0.1,1.0,1.1,3.6,33,5.2,0.37,0.516,0.103,2.9,12.2,7.7,21.7,2.2,0.9,16.9,22.3,-1.0,0.4,-0.6,-0.078,-6.8,-0.2,-7.0,-0.5,false
402,Mason Plumlee,C,29,DEN,61,1,17.3,2.9,4.7,0.615,0.0,0.1,0.0,2.9,4.6,0.625,0.615,1.4,2.5,0.535,1.6,3.6,5.2,2.5,0.5,0.6,1.3,2.3,7.2,61,18.8,0.613,0.017,0.538,10.4,23.2,16.8,20.9,1.5,3.3,18.7,18.0,2.0,1.4,3.4,0.153,0.3,1.7,2.0,1.1,false
403,Jakob Poeltl,C,24,SAS,66,18,17.7,2.5,4.0,0.624,0.0,0.0,,2.5,4.0,0.624,0.624,0.6,1.3,0.465,2.0,3.7,5.7,1.8,0.6,1.4,0.8,1.9,5.6,66,19.1,0.612,0.0,0.323,12.1,22.5,17.3,13.6,1.5,7.1,15.1,13.2,2.4,1.6,4.0,0.163,0.5,2.0,2.5,1.3,false
404,Vincent Poirier,C,26,BOS,22,0,5.9,0.8,1.6,0.472,0.0,0.1,0.5,0.7,1.5,0.471,0.486,0.3,0.3,0.857,0.6,1.4,2.0,0.4,0.1,0.4,0.4,1.1,1.9,22,12.7,0.525,0.056,0.194,10.8,24.4,17.7,8.5,0.7,6.4,17.0,15.4,0.1,0.2,0.3,0.113,-4.8,1.0,-3.8,-0.1,false
405,Shamorie Ponds,PG,21,TOR,4,0,2.8,0.8,1.3,0.6,0.3,0.5,0.5,0.5,0.8,0.667,0.7,0.5,0.5,1.0,0.0,0.3,0.3,0.5,0.0,0.3,0.0,0.5,2.3,4,33.1,0.765,0.4,0.4,0.0,9.4,4.8,32.4,0.0,8.9,0.0,22.8,0.1,0.0,0.1,0.45,8.4,5.3,13.7,0.0,false
406,Jordan Poole,SG,20,GSW,57,14,22.4,2.9,8.8,0.333,1.3,4.6,0.279,1.6,4.2,0.392,0.406,1.7,2.1,0.798,0.2,1.9,2.1,2.4,0.6,0.2,1.3,1.6,8.8,57,7.2,0.454,0.528,0.237,0.7,9.6,5.0,15.8,1.3,0.7,11.8,21.1,-1.6,0.4,-1.2,-0.047,-4.4,-2.2,-6.6,-1.5,false
407,Kevin Porter Jr.,SF,19,CLE,50,3,23.2,3.7,8.4,0.442,1.1,3.2,0.335,2.7,5.3,0.506,0.505,1.5,2.0,0.723,0.4,2.8,3.2,2.2,0.9,0.3,1.9,2.7,10.0,50,10.8,0.535,0.375,0.24,2.1,13.5,7.7,13.9,1.9,1.0,16.7,20.5,-0.3,0.6,0.3,0.012,-3.2,-0.6,-3.8,-0.5,false
